key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
invention-01,inventor-01,CD12-ABCDETRUE,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-02,inventor-02,CV99-12345,L,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-03,inventor-01,UK01-ABC12FA,Lo,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-04,inventor-02,UR45-AAAAA,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-05,inventor-01,KR88-XYZ7890,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mil","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-06,inventor-02,AR10-HELLO1,โลเร็ม อิปซัม,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-07,inventor-01,SP77-ABCDE123,لوريم إيبسوم,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-08,inventor-02,PT55-ABCDE_,洛伦·伊普森,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-09,inventor-01,TW00-1234567890,<marquee>Hacked</marquee>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-10,inventor-02,NL22-ABCDE1234,<script>alert(‘Hacked!’);</script>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-11,inventor-01,IE09-AAAAAAA,' or 'A' = 'A,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
#probar description,"","","","","",""
invention-12,inventor-02,DC44-POIUR,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-13,inventor-01,EG78-LOKIJJ,"Vestibulum id ligula porta felis euis!",L,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-14,inventor-02,PK44-ABCDE9,"Vestibulum id ligula porta felis euis!",Lo,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-15,inventor-01,NZ66-ABCD12,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-16,inventor-02,CL77-TESTING,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-17,inventor-01,AT88-ABCDE_12,"Vestibulum id ligula porta felis euis!",โลเร็ม อิปซัม,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-18,inventor-02,NO99-ABCDE123,"Vestibulum id ligula porta felis euis!",لوريم إيبسوم,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-19,inventor-01,NO01-POIUYT,"Vestibulum id ligula porta felis euis!",洛伦·伊普森,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-20,inventor-02,NO45-MKIUYT,"Vestibulum id ligula porta felis euis!",<marquee>Hacked</marquee>,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-21,inventor-01,JI33-798546,"Vestibulum id ligula porta felis euis!",<script>alert(‘Hacked!’);</script>,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-22,inventor-02,FH33-798545,"Vestibulum id ligula porta felis euis!",' or 'A' = 'A,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
#probar start,"","","","",""
invention-23,inventor-01,YU33-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2026/01/01 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-24,inventor-02,VE33-HDHDH,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2026/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-25,inventor-01,NJ33-DHHDHD,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2026/01/08 0:01,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-26,inventor-02,YU34-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/12/31 23:58,2200/12/31 23:59,http://dummy.org/ipsum,TRUE
invention-27,inventor-01,YU35-YTGFVF,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/01/01 0:00,2200/01/01 0:00,http://dummy.org/ipsum,TRUE
#probar end,"",""
invention-28,inventor-02,YU36-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2026/01/01 0:00,2026/01/01 0:00,http://dummy.org/ipsum,TRUE
invention-29,inventor-01,YU37-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2026/01/04 0:00,2026/01/08 0:00,http://dummy.org/ipsum,TRUE
invention-30,inventor-02,YU38-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2026/01/08 0:00,2026/01/08 0:01,http://dummy.org/ipsum,TRUE
invention-31,inventor-01,YU39-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2100/12/31 23:59,2200/12/31 23:59,http://dummy.org/ipsum,TRUE
invention-32,inventor-02,YU12-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/12/31 23:58,2200/12/31 23:59,http://dummy.org/ipsum,TRUE
