key,key:invention,name,description,cost,kind
part-01,invention-01,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,CORE
part-02,invention-01,L,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,MANDATORY
part-03,invention-02,Lo,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,OPTIONAL
part-04,invention-02,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,CORE
part-05,invention-03,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mil","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,MANDATORY
part-06,invention-03,โลเร็ม อิปซัม,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,OPTIONAL
part-07,invention-04,لوريم إيبسوم,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,CORE
part-08,invention-04,洛伦·伊普森,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,MANDATORY
part-09,invention-05,<marquee>Hacked</marquee>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,OPTIONAL
part-10,invention-05,<script>alert(‘Hacked!’);</script>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,CORE
part-11,invention-06,' or 'A' = 'A,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,MANDATORY
#prueba description
part-12,invention-06,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,OPTIONAL
part-13,invention-07,"Vestibulum id ligula porta felis euis!",L,EUR 500.00,CORE
part-14,invention-07,"Vestibulum id ligula porta felis euis!",Lo,EUR 500.00,MANDATORY
part-15,invention-08,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el",EUR 500.00,OPTIONAL
part-16,invention-08,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el*",EUR 500.00,CORE
part-17,invention-09,"Vestibulum id ligula porta felis euis!",โลเร็ม อิปซัม,EUR 500.00,MANDATORY
part-18,invention-09,"Vestibulum id ligula porta felis euis!",لوريم إيبسوم,EUR 500.00,OPTIONAL
part-19,invention-10,"Vestibulum id ligula porta felis euis!",洛伦·伊普森,EUR 500.00,CORE
part-20,invention-10,"Vestibulum id ligula porta felis euis!",<marquee>Hacked</marquee>,EUR 500.00,MANDATORY
part-21,invention-11,"Vestibulum id ligula porta felis euis!",<script>alert(‘Hacked!’);</script>,EUR 500.00,OPTIONAL
part-22,invention-11,"Vestibulum id ligula porta felis euis!",' or 'A' = 'A,EUR 500.00,CORE
#prueba cost
part-23,invention-12,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",EUR 500.00,MANDATORY
