key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
sponsorship-00,SP-00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Descripción de ejemplo 1","2025/10/01 10:00","2025/12/01 10:00","http://info.com",TRUE,sponsor-01
sponsorship-01,SP-01,"L","Descripción mínima","2025/11/01 09:00","2026/01/01 09:00","http://example.com",TRUE,sponsor-02
sponsorship-02,SP-02,"Lo","Otra descripción corta","2025/12/01 08:00","2026/02/01 08:00","","TRUE,sponsor-01
sponsorship-03,SP-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod te","Descripción larga de ejemplo","2026/01/01 12:00","2026/03/01 12:00","https://a.org",TRUE,sponsor-02
sponsorship-04,SP-04,"โลเร็ม อิปซัม","Descripción en tailandés","2026/02/01 15:00","2026/04/01 15:00","http://example.org?a=1&b=2",TRUE,sponsor-01
sponsorship-05,SP-05,"لوريم إيبسوم","Descripción en árabe","2026/03/01 08:30","2026/05/01 08:30","https://www.lorem-ipsum.org",TRUE,sponsor-02
sponsorship-06,SP-06,"洛伦·伊普森","Descripción en chino","2026/04/01 16:45","2026/06/01 16:45","http://www.lorem-ipsum.org/dolor/sit.html",TRUE,sponsor-01
sponsorship-07,SP-07,"<marquee>Hacked</marquee>","Descripción con HTML","2026/05/01 10:10","2026/07/01 10:10","http://example.com/path",TRUE,sponsor-02
sponsorship-08,SP-08,"<script>alert('Hacked!');</script>","Descripción con script","2026/06/01 09:00","2026/08/01 09:00","http://example.org/",FALSE,sponsor-01
sponsorship-09,SP-09,"' or 'A' = 'A","Descripción con caracteres especiales","2026/07/01 14:30","2026/09/01 14:30","https://example.org/a/b?a&b",FALSE,sponsor-02
sponsorship-10,SP-10,"Lorem ipsum dolor sit","Texto corto","2026/08/01 12:00","2026/10/01 12:00","http://lorem.com/ipsum",TRUE,sponsor-01
sponsorship-11,SP-11,"Lo-rem ipsum","Variación corta","2026/09/01 08:00","2026/11/01 08:00","http://example.org",TRUE,sponsor-02
