key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:fundraiser
strategy-01,FR01-ALPHA1,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/alpha,FALSE,fundraiser-01
strategy-02,FR02-BETA22,"Local Startup Boost","Draft strategy to back local startups with milestone-based disbursement.",2027/03/01 10:00,2028/01/01 10:00,http://example.org/strategies/beta,TRUE,fundraiser-01
strategy-03,FR03-OMEGA3,"Health Innovation","Draft strategy kept without tactics to test the empty-strategy edge case.",2027/02/10 08:30,2027/11/30 18:00,http://example.org/strategies/omega,TRUE,fundraiser-02
#prueba name,"","","","","","","",""
strategy-04,FR04-ABCDETRUE,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-05,FR05-12345,L,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-06,FR06-ABC12F,Lo,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-07,FR07-AAAAA,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-08,FR08-XYZ7890,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mil","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-09,FR09-HELLO1,โลเร็ม อิปซัม,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-10,FR10-ABCDE1,لوريم إيبسوم,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-11,FR11-ABCDE_,洛伦·伊普森,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-12,FR12-12345A,<marquee>Hacked</marquee>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-13,FR13-ABCDE2,<script>alert('Hacked!');</script>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-14,FR14-AAAAAAA,' or 'A' = 'A,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
#prueba description,"","","","","","","",""
strategy-15,FR15-POIUR,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-16,FR16-LOKIJJ,"Vestibulum id ligula porta felis euis!",L,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-17,FR17-ABCDE9,"Vestibulum id ligula porta felis euis!",Lo,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-18,FR18-ABCD12,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-19,FR19-TESTIN,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-20,FR20-ABCDE_1,"Vestibulum id ligula porta felis euis!",โลเร็ม อิปซัม,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-21,FR21-ABCDE12,"Vestibulum id ligula porta felis euis!",لوريم إيبسوم,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-22,FR22-POIUYT,"Vestibulum id ligula porta felis euis!",洛伦·伊普森,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
